Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,11320.549805,11349.049805,11225.299805,11239.049805,11239.049805,10611400
2019-10-09,11263.799805,11431.400391,11200.950195,11423.650391,11423.650391,12048900
2019-10-10,11390.099609,11404.650391,11320.400391,11345.000000,11345.000000,12540100
2019-10-11,11368.900391,11468.950195,11299.500000,11412.950195,11412.950195,11599900
2019-10-14,11444.599609,11530.599609,11403.900391,11455.700195,11455.700195,9732500
2019-10-15,11475.150391,11575.750000,11457.650391,11544.450195,11544.450195,8972700
2019-10-16,11580.799805,11602.750000,11537.549805,11588.650391,11588.650391,10935600
2019-10-17,11592.599609,11730.250000,11567.299805,11718.349609,11718.349609,12691200
2019-10-18,11715.099609,11828.150391,11688.049805,11806.200195,11806.200195,12665700
2019-10-22,11806.049805,11863.549805,11733.500000,11749.900391,11749.900391,12889800
2019-10-23,11758.849609,11812.950195,11713.900391,11762.450195,11762.450195,10471200
2019-10-24,11817.450195,11836.349609,11690.849609,11738.250000,11738.250000,16753900
2019-10-25,11794.500000,11795.349609,11641.950195,11734.349609,11734.349609,14703700
2019-10-27,null,null,null,null,null,null
2019-10-29,11796.400391,11961.750000,11779.750000,11942.049805,11942.049805,16021000
2019-10-30,12033.400391,12038.099609,11943.099609,12002.950195,12002.950195,12904500
2019-10-31,12050.349609,12099.099609,12014.349609,12037.250000,12037.250000,21254900
2019-11-01,12049.250000,12082.049805,12011.599609,12047.799805,12047.799805,19084400
2019-11-04,12084.150391,12140.599609,12056.349609,12089.150391,12089.150391,12471900
2019-11-05,12119.349609,12123.799805,12004.150391,12056.150391,12056.150391,10371100
2019-11-06,12051.599609,12139.599609,11991.049805,12104.200195,12104.200195,10295100
2019-11-07,12160.250000,12161.599609,12090.349609,12152.950195,12152.950195,10508300
2019-11-08,12133.049805,12173.950195,12026.400391,12044.849609,12044.849609,13337500
2019-11-11,12015.900391,12071.049805,12000.500000,12053.299805,12053.299805,9509300
2019-11-13,12053.650391,12099.000000,11961.750000,11980.650391,11980.650391,11597200
2019-11-14,11998.099609,12029.450195,11935.849609,12001.099609,12001.099609,13780800
2019-11-15,12034.549805,12096.099609,12008.549805,12022.799805,12022.799805,16539200
2019-11-18,12043.900391,12071.349609,11995.200195,12010.900391,12010.900391,12723500
2019-11-19,12041.400391,12071.950195,12000.849609,12054.700195,12054.700195,19064000
2019-11-20,12117.349609,12156.349609,12083.799805,12116.200195,12116.200195,26818000
2019-11-21,12146.049805,12148.250000,12070.900391,12082.700195,12082.700195,16540800
2019-11-22,12083.200195,12083.950195,11999.500000,12031.200195,12031.200195,11464800
2019-11-25,12039.950195,12203.150391,12037.299805,12192.650391,12192.650391,12956900
2019-11-26,12230.950195,12255.150391,12117.599609,12150.700195,12150.700195,29473900
2019-11-27,12183.000000,12230.599609,12172.000000,12217.500000,12217.500000,11725600
2019-11-28,12246.750000,12286.599609,12216.349609,12278.450195,12278.450195,15706000
2019-11-29,12275.950195,12277.299805,12145.599609,12182.599609,12182.599609,16038100
2019-12-02,12255.400391,12255.500000,12147.700195,12175.150391,12175.150391,24348300
2019-12-03,12196.150391,12196.900391,12079.150391,12115.799805,12115.799805,15606500
2019-12-04,12089.250000,12172.049805,12057.650391,12160.849609,12160.849609,16707200
2019-12-05,12183.900391,12190.799805,12106.900391,12126.500000,12126.500000,10709200
